id_animal,numero_microchip,nome_animal,especie,raca,cor_base,sexo,idade_animal
15801,0A115D7358,Jadzia,Gato,Domestic Short Hair,Tartaruga,Femea,110
15932,0A11675477,Gonzo,Cachorro,German Shepherd Dog/Mix,Castanho,Macho,109
28859,0A13253C7B,Maggie,Cachorro,Shep Mix/Siberian Husky,Variado,Femea,80
30812,0A13403D4D,Pretty Girl,Gato,Domestic Short Hair,Tartaruga Diluida,Femea,107
30812,0A13403D4D,Pretty Girl,Gato,Domestic Short Hair,Tartaruga Diluida,Femea,107
31469,981020007006095,Bonnie,Cachorro,Basenji/Mix,Marrom e Branco,Femea,71
31469,981020007006095,Bonnie,Cachorro,Basenji/Mix,Marrom e Branco,Femea,71
40705,None,Candy,Coelho Domestico,American Sable/American,Marrom,Femea,54
40706,None,Charlotte,Coelho Domestico,American Sable/American,Marrom,Femea,54
46238,981020019070093,Tennessee,Cachorro,Heeler/Mix,Marrom e Preto,Macho,38
46238,981020019070093,Tennessee,Cachorro,Heeler/Mix,Marrom e Preto,Macho,38
46238,981020019070093,Tennessee,Cachorro,Heeler/Mix,Marrom e Preto,Macho,38
46437,981020017650993,Nova,Gato,Domestic Long Hair,Preto,Femea,147
46437,981020017650993,Nova,Gato,Domestic Long Hair,Preto,Femea,147
46693,981020017897009,Baby,Cachorro,Pitbull,Branco,Macho,49
47120,981020021072899,Vivian,Gato,Himalayan,Seal,Femea,60
47120,981020021072899,Vivian,Gato,Himalayan,Seal,Femea,60
47146,981020021063793,Dinah,Cachorro,Labrador Retriever/Affenpinscher,Preto,Femea,46
47146,981020021063793,Dinah,Cachorro,Labrador Retriever/Affenpinscher,Preto,Femea,46
47156,None,Maxwell,Coelho Domestico,American,Preto,Macho,46
47156,None,Maxwell,Coelho Domestico,American,Preto,Macho,46
47156,None,Maxwell,Coelho Domestico,American,Preto,Macho,46
47157,None,Hammer,Coelho Domestico,American,Preto,Macho,46
47157,None,Hammer,Coelho Domestico,American,Preto,Macho,46
47198,981020021020775,Mama Mia,Gato,Domestic Short Hair,Cinza e Branco,Femea,39
47198,981020021020775,Mama Mia,Gato,Domestic Short Hair,Cinza e Branco,Femea,39
47239,981020021070452,Maria,Cachorro,None,Marrom e Preto,Femea,22
47248,981020021068759,Mr. T,Gato,DMH/DSH,Preto,Macho,119
47248,981020021068759,Mr. T,Gato,DMH/DSH,Preto,Macho,119
47277,981020021046006,Coraline,Gato,Domestic Short Hair,Marrom e Preto,Femea,46
47290,981020021057911,Montana,Gato,Domestic Short Hair,Torbie,Femea,40
47290,981020021057911,Montana,Gato,Domestic Short Hair,Torbie,Femea,40
47319,None,Louise Vada,Cachorro,Pitbull,Preto,Femea,38
47360,981020021060759,Calli,Gato,DSH/Unknown,Variado,Femea,195
47360,981020021060759,Calli,Gato,DSH/Unknown,Variado,Femea,195
47360,981020021060759,Calli,Gato,DSH/Unknown,Variado,Femea,195
47395,981020021035687,Gooseberry,Gato,Domestic Short Hair,Tartaruga,Femea,165
47402,981020021039948,Precious,Cachorro,Shep Mix/Mix,Ruddy,Femea,57
47402,981020021039948,Precious,Cachorro,Shep Mix/Mix,Ruddy,Femea,57
47402,981020021039948,Precious,Cachorro,Shep Mix/Mix,Ruddy,Femea,57
47414,981020021060979,Beemo,Cachorro,Pitbull/Mix,Azul,Macho,82
47414,981020021060979,Beemo,Cachorro,Pitbull/Mix,Azul,Macho,82
47414,981020021060979,Beemo,Cachorro,Pitbull/Mix,Azul,Macho,82
47429,981020021046343,Ellen,Gato,British Shorthair/Unknown,Cinza,Femea,141
47429,981020021046343,Ellen,Gato,British Shorthair/Unknown,Cinza,Femea,141
47432,None,Fitzgerald,Coelho Domestico,American,Preto,Macho,45
47432,None,Fitzgerald,Coelho Domestico,American,Preto,Macho,45
47502,981020015101070,Zoey,Cachorro,Pitbull/Mix,Cinza e Branco,Femea,32
47502,981020015101070,Zoey,Cachorro,Pitbull/Mix,Cinza e Branco,Femea,32
47510,981020021059390,Maureen,Gato,Domestic Short Hair,Marrom e Preto,Femea,32
47511,981020021064555,Janet,Gato,DSH/Unknown,Cinza,Femea,50
47520,981020021039765,Ruce,Gato,DSH/Unknown,Preto e Branco,Macho,46
47521,981020021063627,Ramsay,Gato,DSH/Unknown,Laranja e Branco,Macho,46
47538,981020021050526,Gus,Cachorro,Labrador Retriever/Coonhound,Chocolate,Macho,34
47539,981020021038500,Zack Attack,Gato,DSH/Unknown,Cinza e Branco,Macho,57
47540,981020021071498,Buggs,Gato,DSH/Unknown,Preto,Macho,23
47558,981020021074652,Clyde,Cachorro,"Golden Retriever/Poodle, Standard",Dourado,Macho,74
47558,981020021074652,Clyde,Cachorro,"Golden Retriever/Poodle, Standard",Dourado,Macho,74
