id_animal,data_obito,motivo_obito,morreu_fora_do_abrigo,eutanasiado,morto_ao_chegar
15801,None,Falecimento sob Cuidados,0,0,0
15932,None,Falecimento sob Cuidados,0,0,0
28859,None,Falecimento sob Cuidados,0,0,0
30812,None,Falecimento sob Cuidados,0,0,0
30812,None,Falecimento sob Cuidados,0,0,0
31469,None,Falecimento sob Cuidados,0,0,0
31469,None,Falecimento sob Cuidados,0,0,0
40705,None,Falecimento sob Cuidados,0,0,0
40706,None,Falecimento sob Cuidados,0,0,0
46238,None,Falecimento sob Cuidados,0,0,0
46238,None,Falecimento sob Cuidados,0,0,0
46238,None,Falecimento sob Cuidados,0,0,0
46437,2018-02-10 00:00:00,Intratavel / Ingerenciavel,0,1,0
46437,2018-02-10 00:00:00,Intratavel / Ingerenciavel,0,1,0
46693,None,Falecimento sob Cuidados,0,0,0
47120,None,Falecimento sob Cuidados,0,0,0
47120,None,Falecimento sob Cuidados,0,0,0
47146,None,Falecimento sob Cuidados,0,0,0
47146,None,Falecimento sob Cuidados,0,0,0
47156,None,Falecimento sob Cuidados,0,0,0
47156,None,Falecimento sob Cuidados,0,0,0
47156,None,Falecimento sob Cuidados,0,0,0
47157,None,Falecimento sob Cuidados,0,0,0
47157,None,Falecimento sob Cuidados,0,0,0
47198,None,Falecimento sob Cuidados,0,0,0
47198,None,Falecimento sob Cuidados,0,0,0
47239,None,Falecimento sob Cuidados,0,0,0
47248,None,Falecimento sob Cuidados,0,0,0
47248,None,Falecimento sob Cuidados,0,0,0
47277,None,Falecimento sob Cuidados,0,0,0
47290,None,Falecimento sob Cuidados,0,0,0
47290,None,Falecimento sob Cuidados,0,0,0
47319,None,Falecimento sob Cuidados,0,0,0
47360,2017-06-13 00:00:00,Intratavel / Ingerenciavel,0,1,0
47360,2017-06-13 00:00:00,Intratavel / Ingerenciavel,0,1,0
47360,2017-06-13 00:00:00,Intratavel / Ingerenciavel,0,1,0
47395,None,Falecimento sob Cuidados,0,0,0
47402,None,Falecimento sob Cuidados,0,0,0
47402,None,Falecimento sob Cuidados,0,0,0
47402,None,Falecimento sob Cuidados,0,0,0
47414,None,Falecimento sob Cuidados,0,0,0
47414,None,Falecimento sob Cuidados,0,0,0
47414,None,Falecimento sob Cuidados,0,0,0
47429,None,Falecimento sob Cuidados,0,0,0
47429,None,Falecimento sob Cuidados,0,0,0
47432,None,Falecimento sob Cuidados,0,0,0
47432,None,Falecimento sob Cuidados,0,0,0
47502,None,Falecimento sob Cuidados,0,0,0
47502,None,Falecimento sob Cuidados,0,0,0
47510,None,Falecimento sob Cuidados,0,0,0
47511,None,Falecimento sob Cuidados,0,0,0
47520,None,Falecimento sob Cuidados,0,0,0
47521,None,Falecimento sob Cuidados,0,0,0
47538,None,Saudavel,0,0,0
47539,None,Falecimento sob Cuidados,0,0,0
47540,None,Falecimento sob Cuidados,0,0,0
47558,None,Falecimento sob Cuidados,0,0,0
47558,None,Falecimento sob Cuidados,0,0,0
47562,None,Falecimento sob Cuidados,0,0,0
47575,None,Falecimento sob Cuidados,0,0,0
47575,None,Falecimento sob Cuidados,0,0,0
47575,None,Falecimento sob Cuidados,0,0,0
47575,None,Falecimento sob Cuidados,0,0,0
47575,None,Falecimento sob Cuidados,0,0,0
47575,None,Falecimento sob Cuidados,0,0,0
47576,None,Falecimento sob Cuidados,0,0,0
47582,None,Falecimento sob Cuidados,0,0,0
47591,None,Falecimento sob Cuidados,0,0,0
47591,None,Falecimento sob Cuidados,0,0,0
