id_animal,data_entrada,motivo_entrada,transferencia,codigo_abrigo,localizacao,data_movimentacao,tipo_movimentacao,adocao_teste,data_retorno,motivo_retorno
15801,2009-11-28 00:00:00,Mudança,0,C09115463,"Gatos Adotaveis, Colonia de Vidro",2017-05-13 00:00:00,Adocao,0.0,None,Animal Errante
15932,2009-12-08 00:00:00,Mudança,0,D09125594,Cães Adotaveis,2017-04-24 00:00:00,Adocao,0.0,None,Animal Errante
28859,2012-08-10 00:00:00,Abandonado,0,D12082309,Cães Adotaveis,2017-04-15 00:00:00,Adocao,0.0,None,Animal Errante
30812,2013-01-11 00:00:00,Abandonado,0,C1301091,Gatos Errantes,2017-04-18 00:00:00,Lar Temporario,0.0,2018-05-29 00:00:00,Animal Errante
30812,2013-01-11 00:00:00,Abandonado,0,C1301091,Gatos Errantes,2018-05-29 00:00:00,Adocao,0.0,None,Animal Errante
31469,2013-03-26 00:00:00,Incompativel com Estilo de Vida do Tutor,0,D1303720,"Caes Errantes, Beta",2013-03-30 00:00:00,Adocao,0.0,2017-05-08 00:00:00,Incompativel com Estilo de Vida do Tutor
31469,2013-03-26 00:00:00,Incompativel com Estilo de Vida do Tutor,0,D1303720,"Caes Errantes, Beta",2017-05-09 00:00:00,Adocao,0.0,None,Animal Errante
40705,2015-06-19 00:00:00,Abandonado,0,R15061738,Recepcao,2017-04-12 00:00:00,Transferencia,0.0,None,Animal Errante
40706,2015-06-19 00:00:00,Abandonado,0,R15061739,Recepcao,2017-04-12 00:00:00,Transferencia,0.0,None,Animal Errante
46238,2016-10-09 00:00:00,Abandonado,0,D16103207,"Cuidados Especiais, Caes",2016-11-26 00:00:00,Lar Temporario,0.0,2017-07-23 00:00:00,Animal Errante
46238,2016-10-09 00:00:00,Abandonado,0,D16103207,"Cuidados Especiais, Caes",2017-08-09 00:00:00,Lar Temporario,0.0,2018-02-14 00:00:00,Animal Errante
46238,2016-10-09 00:00:00,Abandonado,0,D16103207,"Cuidados Especiais, Caes",2018-02-14 00:00:00,Adocao,0.0,None,Animal Errante
46437,2016-10-26 00:00:00,Abandonado,0,C16103406,Gatos Errantes,2017-03-25 00:00:00,Lar Temporario,0.0,2017-04-07 00:00:00,Animal Errante
46437,2016-10-26 00:00:00,Abandonado,0,C16103406,Gatos Errantes,2017-04-07 00:00:00,Adocao,0.0,2018-02-09 00:00:00,Incompativel com Estilo de Vida do Tutor
46693,2016-11-21 00:00:00,Abandonado,0,D16113659,Cães Adotaveis,2017-04-07 00:00:00,Adocao,0.0,None,Animal Errante
47120,2017-01-11 00:00:00,Abandonado,0,C17011137,Lar Temporario,2017-01-18 00:00:00,Lar Temporario,0.0,2017-05-13 00:00:00,Animal Errante
47120,2017-01-11 00:00:00,Abandonado,0,C17011137,Lar Temporario,2017-05-13 00:00:00,Adocao,0.0,None,Animal Errante
47146,2017-01-17 00:00:00,Abandonado,0,D17011163,Lar Temporario,2017-03-31 00:00:00,Lar Temporario,0.0,2017-04-01 00:00:00,Animal Errante
47146,2017-01-17 00:00:00,Abandonado,0,D17011163,Lar Temporario,2017-04-01 00:00:00,Adocao,0.0,None,Animal Errante
47156,2017-01-17 00:00:00,Abandonado,0,R17011173,Recepcao,2017-03-27 00:00:00,Lar Temporario,0.0,2017-04-07 00:00:00,Animal Errante
47156,2017-01-17 00:00:00,Abandonado,0,R17011173,Recepcao,2017-04-07 00:00:00,Lar Temporario,0.0,2017-04-07 00:00:00,Animal Errante
47156,2017-01-17 00:00:00,Abandonado,0,R17011173,Recepcao,2017-05-12 00:00:00,Adocao,0.0,None,Animal Errante
47157,2017-01-17 00:00:00,Abandonado,0,R17011174,Recepcao,2017-03-27 00:00:00,Lar Temporario,0.0,2017-04-07 00:00:00,Animal Errante
47157,2017-01-17 00:00:00,Abandonado,0,R17011174,Recepcao,2017-05-12 00:00:00,Adocao,0.0,None,Animal Errante
47198,2017-01-22 00:00:00,Abandonado,0,C17011213,"Gatos Adotaveis, Colonia de Vidro",2017-02-03 00:00:00,Lar Temporario,0.0,2017-05-25 00:00:00,Animal Errante
47198,2017-01-22 00:00:00,Abandonado,0,C17011213,"Gatos Adotaveis, Colonia de Vidro",2017-06-22 00:00:00,Adocao,0.0,None,Animal Errante
47239,2017-01-27 00:00:00,Abandonado,0,D17011254,Lar Temporario,2017-04-01 00:00:00,Adocao,0.0,None,Animal Errante
47248,2017-01-27 00:00:00,Abandonado,0,C17011263,Lar Temporario,2017-02-15 00:00:00,Lar Temporario,0.0,2017-06-02 00:00:00,Animal Errante
47248,2017-01-27 00:00:00,Abandonado,0,C17011263,Lar Temporario,2017-06-02 00:00:00,Adocao,0.0,None,Animal Errante
47277,2017-01-31 00:00:00,Abandonado,0,C17011292,"Gatos Adotaveis, Colonia de Vidro",2017-04-05 00:00:00,Adocao,0.0,None,Animal Errante
47290,2017-02-01 00:00:00,Abandonado,0,C17021304,"Gatos Adotaveis, Colonia Grande",2017-03-29 00:00:00,Lar Temporario,0.0,2017-04-27 00:00:00,Animal Errante
47290,2017-02-01 00:00:00,Abandonado,0,C17021304,"Gatos Adotaveis, Colonia Grande",2017-06-22 00:00:00,Adocao,0.0,None,Animal Errante
47319,2017-02-05 00:00:00,Monitoramento de Raiva,0,D17021329,"Caes Errantes, Theta",2017-04-05 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
47360,2017-02-11 00:00:00,Abandonado,0,C17021370,Escritorio,2017-03-07 00:00:00,Lar Temporario,0.0,2017-04-22 00:00:00,Animal Errante
47360,2017-02-11 00:00:00,Abandonado,0,C17021370,Escritorio,2017-04-25 00:00:00,Lar Temporario,0.0,2017-06-11 00:00:00,Animal Errante
47360,2017-02-11 00:00:00,Abandonado,0,C17021370,Escritorio,2017-06-12 00:00:00,Lar Temporario,0.0,2017-06-13 00:00:00,Animal Errante
47395,2017-02-13 00:00:00,Abandonado,0,C17021405,"Gatos Adotaveis, Colonia Grande",2017-04-11 00:00:00,Adocao,0.0,None,Animal Errante
47402,2017-02-14 00:00:00,Abandonado,0,D17021412,Cães Adotaveis,2017-03-21 00:00:00,Lar Temporario,0.0,2017-04-09 00:00:00,Animal Errante
47402,2017-02-14 00:00:00,Abandonado,0,D17021412,Cães Adotaveis,2017-04-10 00:00:00,Lar Temporario,0.0,2017-05-03 00:00:00,Animal Errante
47402,2017-02-14 00:00:00,Abandonado,0,D17021412,Cães Adotaveis,2017-05-05 00:00:00,Adocao,0.0,None,Animal Errante
47414,2017-02-16 00:00:00,Abandonado,0,D17021424,"Caes Errantes, Beta",2017-04-15 00:00:00,Adocao,0.0,2017-07-12 00:00:00,Monitoramento de Raiva
